_id,type,model
ObjectId(672b026c83b336e9cfd21176),laptop,k12
ObjectId(672b026c83b336e9cfd21177),laptop,k12
ObjectId(672b026c83b336e9cfd21178),laptop,qw2
ObjectId(672b026c83b336e9cfd21179),laptop,jl3
ObjectId(672b026c83b336e9cfd2117a),laptop,c6
ObjectId(672b026c83b336e9cfd2117b),laptop,kz
ObjectId(672b026c83b336e9cfd2117c),laptop,ay9
ObjectId(672b026c83b336e9cfd2117d),laptop,k12
ObjectId(672b026c83b336e9cfd2117e),laptop,zeta
ObjectId(672b026c83b336e9cfd2117f),laptop,jl3
ObjectId(672b026c83b336e9cfd21180),laptop,kz
ObjectId(672b026c83b336e9cfd21181),laptop,zeta
ObjectId(672b026c83b336e9cfd21182),laptop,ay9
ObjectId(672b026c83b336e9cfd21183),laptop,ay9
ObjectId(672b026c83b336e9cfd21184),laptop,k12
ObjectId(672b026c83b336e9cfd21185),laptop,jl3
ObjectId(672b026c83b336e9cfd21186),laptop,qw2
ObjectId(672b026c83b336e9cfd21187),laptop,ki2
ObjectId(672b026c83b336e9cfd21188),laptop,j3
ObjectId(672b026c83b336e9cfd21189),laptop,qw2
ObjectId(672b026c83b336e9cfd2118a),laptop,j3
ObjectId(672b026c83b336e9cfd2118b),laptop,zeta
ObjectId(672b026c83b336e9cfd2118c),laptop,jl3
ObjectId(672b026c83b336e9cfd2118d),laptop,jl3
ObjectId(672b026c83b336e9cfd2118e),laptop,j3
ObjectId(672b026c83b336e9cfd2118f),laptop,kz
ObjectId(672b026c83b336e9cfd21190),laptop,ay9
ObjectId(672b026c83b336e9cfd21191),laptop,ay9
ObjectId(672b026c83b336e9cfd21192),laptop,kz
ObjectId(672b026c83b336e9cfd21193),laptop,j3
ObjectId(672b026c83b336e9cfd21194),laptop,qw2
ObjectId(672b026c83b336e9cfd21195),laptop,c6
ObjectId(672b026c83b336e9cfd21196),laptop,ay9
ObjectId(672b026c83b336e9cfd21197),laptop,ki2
ObjectId(672b026c83b336e9cfd21198),laptop,ki2
ObjectId(672b026c83b336e9cfd21199),laptop,j3
ObjectId(672b026c83b336e9cfd2119a),laptop,k12
ObjectId(672b026c83b336e9cfd2119b),laptop,ki2
ObjectId(672b026c83b336e9cfd2119c),laptop,qw2
ObjectId(672b026c83b336e9cfd2119d),laptop,ay9
ObjectId(672b026c83b336e9cfd2119e),laptop,zeta
ObjectId(672b026c83b336e9cfd2119f),laptop,kz
ObjectId(672b026c83b336e9cfd211a0),laptop,zeta
ObjectId(672b026c83b336e9cfd211a1),laptop,qw2
ObjectId(672b026c83b336e9cfd211a2),laptop,qw2
ObjectId(672b026c83b336e9cfd211a3),laptop,qw2
ObjectId(672b026c83b336e9cfd211a4),laptop,ki2
ObjectId(672b026c83b336e9cfd211a5),laptop,kz
ObjectId(672b026c83b336e9cfd211a6),laptop,k12
ObjectId(672b026c83b336e9cfd211a7),laptop,c6
ObjectId(672b026c83b336e9cfd211a8),laptop,k12
ObjectId(672b026c83b336e9cfd211a9),laptop,kz
ObjectId(672b026c83b336e9cfd211aa),laptop,k12
ObjectId(672b026c83b336e9cfd211ab),laptop,k12
ObjectId(672b026c83b336e9cfd211ac),laptop,k12
ObjectId(672b026c83b336e9cfd211ad),laptop,ay9
ObjectId(672b026c83b336e9cfd211ae),laptop,kz
ObjectId(672b026c83b336e9cfd211af),laptop,kz
ObjectId(672b026c83b336e9cfd211b0),laptop,k12
ObjectId(672b026c83b336e9cfd211b1),laptop,k12
ObjectId(672b026c83b336e9cfd211b2),laptop,k12
ObjectId(672b026c83b336e9cfd211b3),laptop,ki2
ObjectId(672b026c83b336e9cfd211b4),laptop,c6
ObjectId(672b026c83b336e9cfd211b5),laptop,j3
ObjectId(672b026c83b336e9cfd211b6),laptop,ay9
ObjectId(672b026c83b336e9cfd211b7),laptop,kz
ObjectId(672b026c83b336e9cfd211b8),laptop,qw2
ObjectId(672b026c83b336e9cfd211b9),laptop,j3
ObjectId(672b026c83b336e9cfd211ba),laptop,kz
ObjectId(672b026c83b336e9cfd211bb),laptop,ay9
ObjectId(672b026c83b336e9cfd211bc),laptop,c6
ObjectId(672b026c83b336e9cfd211bd),laptop,c6
ObjectId(672b026c83b336e9cfd211be),laptop,ay9
ObjectId(672b026c83b336e9cfd211bf),laptop,k12
ObjectId(672b026c83b336e9cfd211c0),laptop,kz
ObjectId(672b026c83b336e9cfd211c1),laptop,jl3
ObjectId(672b026c83b336e9cfd211c2),laptop,j3
ObjectId(672b026c83b336e9cfd211c3),laptop,ay9
ObjectId(672b026c83b336e9cfd211c4),laptop,kz
ObjectId(672b026c83b336e9cfd211c5),laptop,ay9
ObjectId(672b026c83b336e9cfd211c6),laptop,j3
ObjectId(672b026c83b336e9cfd211c7),laptop,c6
ObjectId(672b026c83b336e9cfd211c8),laptop,kz
ObjectId(672b026c83b336e9cfd211c9),laptop,qw2
ObjectId(672b026c83b336e9cfd211ca),laptop,c6
ObjectId(672b026c83b336e9cfd211cb),laptop,zeta
ObjectId(672b026c83b336e9cfd211cc),laptop,ki2
ObjectId(672b026c83b336e9cfd211cd),laptop,ki2
ObjectId(672b026c83b336e9cfd211ce),laptop,ay9
ObjectId(672b026c83b336e9cfd211cf),laptop,ki2
ObjectId(672b026c83b336e9cfd211d0),laptop,k12
ObjectId(672b026c83b336e9cfd211d1),laptop,ki2
ObjectId(672b026c83b336e9cfd211d2),laptop,c6
ObjectId(672b026c83b336e9cfd211d3),laptop,ki2
ObjectId(672b026c83b336e9cfd211d4),laptop,kz
ObjectId(672b026c83b336e9cfd211d5),laptop,k12
ObjectId(672b026c83b336e9cfd211d6),laptop,qw2
ObjectId(672b026c83b336e9cfd211d7),laptop,zeta
ObjectId(672b026c83b336e9cfd211d8),laptop,ki2
ObjectId(672b026c83b336e9cfd211d9),laptop,jl3
ObjectId(672b026c83b336e9cfd211da),laptop,ki2
ObjectId(672b026c83b336e9cfd211db),laptop,k12
ObjectId(672b026c83b336e9cfd211dc),laptop,k12
ObjectId(672b026c83b336e9cfd211dd),laptop,zeta
ObjectId(672b026c83b336e9cfd211de),laptop,ay9
ObjectId(672b026c83b336e9cfd211df),laptop,qw2
ObjectId(672b026c83b336e9cfd211e0),laptop,k12
ObjectId(672b026c83b336e9cfd211e1),laptop,qw2
ObjectId(672b026c83b336e9cfd211e2),laptop,kz
ObjectId(672b026c83b336e9cfd211e3),laptop,k12
ObjectId(672b026c83b336e9cfd211e4),laptop,zeta
ObjectId(672b026c83b336e9cfd211e5),laptop,c6
ObjectId(672b026c83b336e9cfd211e6),laptop,ay9
ObjectId(672b026c83b336e9cfd211e7),laptop,c6
ObjectId(672b026c83b336e9cfd211e8),laptop,kz
ObjectId(672b026c83b336e9cfd211e9),laptop,ki2
ObjectId(672b026c83b336e9cfd211ea),laptop,j3
ObjectId(672b026c83b336e9cfd211eb),laptop,kz
ObjectId(672b026c83b336e9cfd211ec),laptop,ki2
ObjectId(672b026c83b336e9cfd211ed),laptop,ay9
ObjectId(672b026c83b336e9cfd211ee),laptop,zeta
ObjectId(672b026c83b336e9cfd211ef),laptop,ki2
ObjectId(672b026c83b336e9cfd211f0),laptop,ay9
ObjectId(672b026c83b336e9cfd211f1),laptop,qw2
ObjectId(672b026c83b336e9cfd211f2),laptop,k12
ObjectId(672b026c83b336e9cfd211f3),laptop,jl3
ObjectId(672b026c83b336e9cfd211f4),laptop,jl3
ObjectId(672b026c83b336e9cfd211f5),laptop,j3
ObjectId(672b026c83b336e9cfd211f6),laptop,jl3
ObjectId(672b026c83b336e9cfd211f7),laptop,ay9
ObjectId(672b026c83b336e9cfd211f8),laptop,ay9
ObjectId(672b026c83b336e9cfd211f9),laptop,zeta
ObjectId(672b026c83b336e9cfd211fa),laptop,jl3
ObjectId(672b026c83b336e9cfd211fb),laptop,ay9
ObjectId(672b026c83b336e9cfd211fc),laptop,jl3
ObjectId(672b026c83b336e9cfd211fd),laptop,k12
ObjectId(672b026c83b336e9cfd211fe),laptop,kz
ObjectId(672b026c83b336e9cfd211ff),laptop,ki2
ObjectId(672b026c83b336e9cfd21200),laptop,jl3
ObjectId(672b026c83b336e9cfd21201),laptop,j3
ObjectId(672b026c83b336e9cfd21202),laptop,qw2
ObjectId(672b026c83b336e9cfd21203),laptop,c6
ObjectId(672b026c83b336e9cfd21204),laptop,ay9
ObjectId(672b026c83b336e9cfd21205),laptop,zeta
ObjectId(672b026c83b336e9cfd21206),laptop,ay9
ObjectId(672b026c83b336e9cfd21207),laptop,c6
ObjectId(672b026c83b336e9cfd21208),laptop,ki2
ObjectId(672b026c83b336e9cfd21209),laptop,kz
ObjectId(672b026c83b336e9cfd2120a),laptop,ki2
ObjectId(672b026c83b336e9cfd2120b),laptop,zeta
ObjectId(672b026c83b336e9cfd2120c),laptop,zeta
ObjectId(672b026c83b336e9cfd2120d),laptop,jl3
ObjectId(672b026c83b336e9cfd2120e),laptop,c6
ObjectId(672b026c83b336e9cfd2120f),laptop,kz
ObjectId(672b026c83b336e9cfd21210),laptop,ki2
ObjectId(672b026c83b336e9cfd21211),laptop,qw2
ObjectId(672b026c83b336e9cfd21212),laptop,jl3
ObjectId(672b026c83b336e9cfd21213),laptop,qw2
ObjectId(672b026c83b336e9cfd21214),laptop,c6
ObjectId(672b026c83b336e9cfd21215),laptop,kz
ObjectId(672b026c83b336e9cfd21216),laptop,kz
ObjectId(672b026c83b336e9cfd21217),laptop,ay9
ObjectId(672b026c83b336e9cfd21218),laptop,c6
ObjectId(672b026c83b336e9cfd21219),laptop,ki2
ObjectId(672b026c83b336e9cfd2121a),laptop,j3
ObjectId(672b026c83b336e9cfd2121b),laptop,ki2
ObjectId(672b026c83b336e9cfd2121c),laptop,ki2
ObjectId(672b026c83b336e9cfd2121d),laptop,ay9
ObjectId(672b026c83b336e9cfd2121e),laptop,jl3
ObjectId(672b026c83b336e9cfd2121f),laptop,zeta
ObjectId(672b026c83b336e9cfd21220),laptop,kz
ObjectId(672b026c83b336e9cfd21221),laptop,kz
ObjectId(672b026c83b336e9cfd21222),laptop,ay9
ObjectId(672b026c83b336e9cfd21223),laptop,c6
ObjectId(672b026c83b336e9cfd21224),laptop,j3
ObjectId(672b026c83b336e9cfd21225),laptop,k12
ObjectId(672b026c83b336e9cfd21226),laptop,j3
ObjectId(672b026c83b336e9cfd21227),laptop,c6
ObjectId(672b026c83b336e9cfd21228),laptop,jl3
ObjectId(672b026c83b336e9cfd21229),laptop,zeta
ObjectId(672b026c83b336e9cfd2122a),laptop,jl3
ObjectId(672b026c83b336e9cfd2122b),laptop,j3
ObjectId(672b026c83b336e9cfd2122c),laptop,k12
ObjectId(672b026c83b336e9cfd2122d),laptop,qw2
ObjectId(672b026c83b336e9cfd2122e),laptop,k12
ObjectId(672b026c83b336e9cfd2122f),laptop,jl3
ObjectId(672b026c83b336e9cfd21230),laptop,zeta
ObjectId(672b026c83b336e9cfd21231),laptop,c6
ObjectId(672b026c83b336e9cfd21232),laptop,ki2
ObjectId(672b026c83b336e9cfd21233),laptop,j3
ObjectId(672b026c83b336e9cfd21234),laptop,c6
ObjectId(672b026c83b336e9cfd21235),laptop,kz
ObjectId(672b026c83b336e9cfd21236),laptop,k12
ObjectId(672b026c83b336e9cfd21237),laptop,j3
ObjectId(672b026c83b336e9cfd21238),laptop,jl3
ObjectId(672b026c83b336e9cfd21239),laptop,zeta
ObjectId(672b026c83b336e9cfd2123a),laptop,kz
ObjectId(672b026c83b336e9cfd2123b),laptop,ay9
ObjectId(672b026c83b336e9cfd2123c),laptop,qw2
ObjectId(672b026c83b336e9cfd2123d),laptop,kz
ObjectId(672b026c83b336e9cfd2123e),laptop,ay9
ObjectId(672b026c83b336e9cfd2123f),laptop,j3
ObjectId(672b026c83b336e9cfd21240),laptop,c6
ObjectId(672b026c83b336e9cfd21241),laptop,jl3
ObjectId(672b026c83b336e9cfd21242),laptop,c6
ObjectId(672b026c83b336e9cfd21243),laptop,ki2
ObjectId(672b026c83b336e9cfd21244),laptop,kz
ObjectId(672b026c83b336e9cfd21245),laptop,j3
ObjectId(672b026c83b336e9cfd21246),laptop,ay9
ObjectId(672b026c83b336e9cfd21247),laptop,j3
ObjectId(672b026c83b336e9cfd21248),laptop,c6
ObjectId(672b026c83b336e9cfd21249),laptop,ay9
ObjectId(672b026c83b336e9cfd2124a),laptop,jl3
ObjectId(672b026c83b336e9cfd2124b),laptop,zeta
ObjectId(672b026c83b336e9cfd2124c),laptop,qw2
ObjectId(672b026c83b336e9cfd2124d),laptop,ki2
ObjectId(672b026c83b336e9cfd2124e),laptop,jl3
ObjectId(672b026c83b336e9cfd2124f),laptop,c6
ObjectId(672b026c83b336e9cfd21250),laptop,zeta
ObjectId(672b026c83b336e9cfd21251),laptop,kz
ObjectId(672b026c83b336e9cfd21252),laptop,c6
ObjectId(672b026c83b336e9cfd21253),laptop,kz
ObjectId(672b026c83b336e9cfd21254),laptop,ki2
ObjectId(672b026c83b336e9cfd21255),laptop,ki2
ObjectId(672b026c83b336e9cfd21256),laptop,j3
ObjectId(672b026c83b336e9cfd21257),laptop,ay9
ObjectId(672b026c83b336e9cfd21258),laptop,jl3
ObjectId(672b026c83b336e9cfd21259),laptop,ki2
ObjectId(672b026c83b336e9cfd2125a),laptop,k12
ObjectId(672b026c83b336e9cfd2125b),laptop,kz
ObjectId(672b026c83b336e9cfd2125c),laptop,k12
ObjectId(672b026c83b336e9cfd2125d),laptop,zeta
ObjectId(672b026c83b336e9cfd2125e),laptop,ki2
ObjectId(672b026c83b336e9cfd2125f),laptop,qw2
ObjectId(672b026c83b336e9cfd21260),laptop,qw2
ObjectId(672b026c83b336e9cfd21261),laptop,kz
ObjectId(672b026c83b336e9cfd21262),laptop,qw2
ObjectId(672b026c83b336e9cfd21263),laptop,kz
ObjectId(672b026c83b336e9cfd21264),laptop,qw2
ObjectId(672b026c83b336e9cfd21265),laptop,j3
ObjectId(672b026c83b336e9cfd21266),laptop,c6
ObjectId(672b026c83b336e9cfd21267),laptop,zeta
ObjectId(672b026c83b336e9cfd21268),laptop,k12
ObjectId(672b026c83b336e9cfd21269),laptop,ki2
ObjectId(672b026c83b336e9cfd2126a),laptop,j3
ObjectId(672b026c83b336e9cfd2126b),laptop,ay9
ObjectId(672b026c83b336e9cfd2126c),laptop,zeta
ObjectId(672b026c83b336e9cfd2126d),laptop,c6
ObjectId(672b026c83b336e9cfd2126e),laptop,jl3
ObjectId(672b026c83b336e9cfd2126f),laptop,kz
ObjectId(672b026c83b336e9cfd21270),laptop,c6
ObjectId(672b026c83b336e9cfd21271),laptop,j3
ObjectId(672b026c83b336e9cfd21272),laptop,ay9
ObjectId(672b026c83b336e9cfd21273),laptop,k12
ObjectId(672b026c83b336e9cfd21274),laptop,zeta
ObjectId(672b026c83b336e9cfd21275),laptop,j3
ObjectId(672b026c83b336e9cfd21276),laptop,k12
ObjectId(672b026c83b336e9cfd21277),laptop,j3
ObjectId(672b026c83b336e9cfd21278),laptop,qw2
ObjectId(672b026c83b336e9cfd21279),laptop,jl3
ObjectId(672b026c83b336e9cfd2127a),laptop,c6
ObjectId(672b026c83b336e9cfd2127b),laptop,qw2
ObjectId(672b026c83b336e9cfd2127c),laptop,ki2
ObjectId(672b026c83b336e9cfd2127d),laptop,ki2
ObjectId(672b026c83b336e9cfd2127e),laptop,c6
ObjectId(672b026c83b336e9cfd2127f),laptop,ay9
ObjectId(672b026c83b336e9cfd21280),laptop,zeta
ObjectId(672b026c83b336e9cfd21281),laptop,c6
ObjectId(672b026c83b336e9cfd21282),laptop,k12
ObjectId(672b026c83b336e9cfd21283),laptop,zeta
ObjectId(672b026c83b336e9cfd21284),laptop,qw2
ObjectId(672b026c83b336e9cfd21285),laptop,c6
ObjectId(672b026c83b336e9cfd21286),laptop,qw2
ObjectId(672b026c83b336e9cfd21287),laptop,c6
ObjectId(672b026c83b336e9cfd21288),laptop,ay9
ObjectId(672b026c83b336e9cfd21289),laptop,jl3
ObjectId(672b026c83b336e9cfd2128a),laptop,jl3
ObjectId(672b026c83b336e9cfd2128b),laptop,j3
ObjectId(672b026c83b336e9cfd2128c),laptop,ay9
ObjectId(672b026c83b336e9cfd2128d),laptop,c6
ObjectId(672b026c83b336e9cfd2128e),laptop,k12
ObjectId(672b026c83b336e9cfd2128f),laptop,qw2
ObjectId(672b026c83b336e9cfd21290),laptop,c6
ObjectId(672b026c83b336e9cfd21291),laptop,ki2
ObjectId(672b026c83b336e9cfd21292),laptop,qw2
ObjectId(672b026c83b336e9cfd21293),laptop,ki2
ObjectId(672b026c83b336e9cfd21294),laptop,jl3
ObjectId(672b026c83b336e9cfd21295),laptop,j3
ObjectId(672b026c83b336e9cfd21296),laptop,jl3
ObjectId(672b026c83b336e9cfd21297),laptop,ki2
ObjectId(672b026c83b336e9cfd21298),laptop,k12
ObjectId(672b026c83b336e9cfd21299),laptop,j3
ObjectId(672b026c83b336e9cfd2129a),laptop,jl3
ObjectId(672b026c83b336e9cfd2129b),laptop,k12
ObjectId(672b026c83b336e9cfd2129c),laptop,jl3
ObjectId(672b026c83b336e9cfd2129d),laptop,kz
ObjectId(672b026c83b336e9cfd2129e),laptop,j3
ObjectId(672b026c83b336e9cfd2129f),laptop,qw2
ObjectId(672b026c83b336e9cfd212a0),laptop,jl3
ObjectId(672b026c83b336e9cfd212a1),laptop,ay9
ObjectId(672b026c83b336e9cfd212a2),laptop,zeta
ObjectId(672b026c83b336e9cfd212a3),laptop,jl3
ObjectId(672b026c83b336e9cfd212a4),laptop,qw2
ObjectId(672b026c83b336e9cfd212a5),laptop,zeta
ObjectId(672b026c83b336e9cfd212a6),laptop,zeta
ObjectId(672b026c83b336e9cfd212a7),laptop,c6
ObjectId(672b026c83b336e9cfd212a8),laptop,k12
ObjectId(672b026c83b336e9cfd212a9),laptop,qw2
ObjectId(672b026c83b336e9cfd212aa),laptop,kz
ObjectId(672b026c83b336e9cfd212ab),laptop,jl3
ObjectId(672b026c83b336e9cfd212ac),laptop,j3
ObjectId(672b026c83b336e9cfd212ad),laptop,j3
ObjectId(672b026c83b336e9cfd212ae),laptop,j3
ObjectId(672b026c83b336e9cfd212af),laptop,jl3
ObjectId(672b026c83b336e9cfd212b0),laptop,zeta
ObjectId(672b026c83b336e9cfd212b1),laptop,k12
ObjectId(672b026c83b336e9cfd212b2),laptop,k12
ObjectId(672b026c83b336e9cfd212b3),laptop,ki2
ObjectId(672b026c83b336e9cfd212b4),laptop,jl3
ObjectId(672b026c83b336e9cfd212b5),laptop,jl3
ObjectId(672b026c83b336e9cfd212b6),laptop,zeta
ObjectId(672b026c83b336e9cfd212b7),laptop,c6
ObjectId(672b026c83b336e9cfd212b8),laptop,zeta
ObjectId(672b026c83b336e9cfd212b9),laptop,k12
ObjectId(672b026c83b336e9cfd212ba),laptop,jl3
ObjectId(672b026c83b336e9cfd212bb),laptop,ay9
ObjectId(672b026c83b336e9cfd212bc),laptop,ki2
ObjectId(672b026c83b336e9cfd212bd),laptop,j3
ObjectId(672b026c83b336e9cfd212be),laptop,ki2
ObjectId(672b026c83b336e9cfd212bf),laptop,ki2
ObjectId(672b026c83b336e9cfd212c0),laptop,zeta
ObjectId(672b026c83b336e9cfd212c1),laptop,zeta
ObjectId(672b026c83b336e9cfd212c2),laptop,ay9
ObjectId(672b026c83b336e9cfd212c3),laptop,qw2
ObjectId(672b026c83b336e9cfd212c4),laptop,j3
ObjectId(672b026c83b336e9cfd212c5),laptop,j3
ObjectId(672b026c83b336e9cfd212c6),laptop,zeta
ObjectId(672b026c83b336e9cfd212c7),laptop,c6
ObjectId(672b026c83b336e9cfd212c8),laptop,kz
ObjectId(672b026c83b336e9cfd212c9),laptop,kz
ObjectId(672b026c83b336e9cfd212ca),laptop,j3
ObjectId(672b026c83b336e9cfd212cb),laptop,qw2
ObjectId(672b026c83b336e9cfd212cc),laptop,kz
ObjectId(672b026c83b336e9cfd212cd),laptop,qw2
ObjectId(672b026c83b336e9cfd212ce),laptop,zeta
ObjectId(672b026c83b336e9cfd212cf),laptop,zeta
ObjectId(672b026c83b336e9cfd212d0),laptop,ay9
ObjectId(672b026c83b336e9cfd212d1),laptop,j3
ObjectId(672b026c83b336e9cfd212d2),laptop,j3
ObjectId(672b026c83b336e9cfd212d3),laptop,j3
ObjectId(672b026c83b336e9cfd212d4),laptop,jl3
ObjectId(672b026c83b336e9cfd212d5),laptop,c6
ObjectId(672b026c83b336e9cfd212d6),television,jk23
ObjectId(672b026c83b336e9cfd212d7),laptop,qw2
ObjectId(672b026c83b336e9cfd212d8),television,ss2
ObjectId(672b026c83b336e9cfd212d9),television,jk23
ObjectId(672b026c83b336e9cfd212da),television,ss2
ObjectId(672b026c83b336e9cfd212db),television,jk23
ObjectId(672b026c83b336e9cfd212dc),television,jk23
ObjectId(672b026c83b336e9cfd212dd),television,k20
ObjectId(672b026c83b336e9cfd212de),television,boom
ObjectId(672b026c83b336e9cfd212df),television,boom
ObjectId(672b026c83b336e9cfd212e0),laptop,ay9
ObjectId(672b026c83b336e9cfd212e1),television,dj1
ObjectId(672b026c83b336e9cfd212e2),television,k20
ObjectId(672b026c83b336e9cfd212e3),television,boom
ObjectId(672b026c83b336e9cfd212e4),television,ss2
ObjectId(672b026c83b336e9cfd212e5),television,k20
ObjectId(672b026c83b336e9cfd212e6),television,boom
ObjectId(672b026c83b336e9cfd212e7),television,jk23
ObjectId(672b026c83b336e9cfd212e8),television,k20
ObjectId(672b026c83b336e9cfd212e9),television,k20
ObjectId(672b026c83b336e9cfd212ea),television,ss2
ObjectId(672b026c83b336e9cfd212eb),television,dj1
ObjectId(672b026c83b336e9cfd212ec),television,dj1
ObjectId(672b026c83b336e9cfd212ed),television,ss2
ObjectId(672b026c83b336e9cfd212ee),television,boom
ObjectId(672b026c83b336e9cfd212ef),television,dj1
ObjectId(672b026c83b336e9cfd212f0),television,dj1
ObjectId(672b02ca9963410e8a06d716),smart phone,platina
ObjectId(672b02ca9963410e8a06d717),smart phone,xm23
ObjectId(672b02ca9963410e8a06d718),smart phone,c3
ObjectId(672b02ca9963410e8a06d719),smart phone,bn20
ObjectId(672b02ca9963410e8a06d71a),smart phone,platina
ObjectId(672b02ca9963410e8a06d71b),smart phone,pk2
ObjectId(672b02ca9963410e8a06d71c),smart phone,cz
ObjectId(672b02ca9963410e8a06d71d),smart phone,c12
ObjectId(672b02ca9963410e8a06d71e),smart phone,k9
ObjectId(672b02ca9963410e8a06d71f),smart phone,platina
ObjectId(672b02ca9963410e8a06d720),smart phone,bn20
ObjectId(672b02ca9963410e8a06d721),smart phone,xm23
ObjectId(672b02ca9963410e8a06d722),smart phone,pk2
ObjectId(672b02ca9963410e8a06d723),smart phone,c3
ObjectId(672b02ca9963410e8a06d724),smart phone,k9
ObjectId(672b02ca9963410e8a06d725),smart phone,bn20
ObjectId(672b02ca9963410e8a06d726),smart phone,xm23
ObjectId(672b02ca9963410e8a06d727),smart phone,cz
ObjectId(672b02ca9963410e8a06d728),smart phone,k9
ObjectId(672b02ca9963410e8a06d729),laptop,c6
ObjectId(672b02ca9963410e8a06d72a),laptop,qw2
ObjectId(672b02ca9963410e8a06d72b),laptop,ay9
ObjectId(672b02ca9963410e8a06d72c),laptop,k12
ObjectId(672b02ca9963410e8a06d72d),laptop,zeta
ObjectId(672b02ca9963410e8a06d72e),laptop,zeta
ObjectId(672b02ca9963410e8a06d72f),laptop,qw2
ObjectId(672b02ca9963410e8a06d730),laptop,zeta
ObjectId(672b02ca9963410e8a06d731),laptop,ki2
ObjectId(672b02ca9963410e8a06d732),laptop,jl3
ObjectId(672b02ca9963410e8a06d733),smart phone,c12
ObjectId(672b02ca9963410e8a06d734),smart phone,c3
ObjectId(672b02ca9963410e8a06d735),smart phone,pk2
ObjectId(672b02ca9963410e8a06d736),laptop,ay9
ObjectId(672b02ca9963410e8a06d737),laptop,ki2
ObjectId(672b02ca9963410e8a06d738),laptop,k12
ObjectId(672b02ca9963410e8a06d739),laptop,j3
ObjectId(672b02ca9963410e8a06d73a),laptop,ki2
ObjectId(672b02ca9963410e8a06d73b),laptop,jl3
ObjectId(672b02ca9963410e8a06d73c),laptop,ay9
ObjectId(672b02ca9963410e8a06d73d),laptop,kz
ObjectId(672b02ca9963410e8a06d73e),laptop,ki2
ObjectId(672b02ca9963410e8a06d73f),laptop,ki2
ObjectId(672b02ca9963410e8a06d740),laptop,kz
ObjectId(672b02ca9963410e8a06d741),laptop,qw2
ObjectId(672b02ca9963410e8a06d742),laptop,c6
ObjectId(672b02ca9963410e8a06d743),laptop,ay9
ObjectId(672b02ca9963410e8a06d744),laptop,j3
ObjectId(672b02ca9963410e8a06d745),laptop,qw2
ObjectId(672b02ca9963410e8a06d746),laptop,c6
ObjectId(672b02ca9963410e8a06d747),smart phone,cz
ObjectId(672b02ca9963410e8a06d748),laptop,jl3
ObjectId(672b02ca9963410e8a06d749),laptop,qw2
ObjectId(672b02ca9963410e8a06d74a),laptop,jl3
ObjectId(672b02ca9963410e8a06d74b),smart phone,c12
ObjectId(672b02ca9963410e8a06d74c),laptop,qw2
ObjectId(672b02ca9963410e8a06d74d),laptop,k12
ObjectId(672b02ca9963410e8a06d74e),laptop,k12
ObjectId(672b02ca9963410e8a06d74f),laptop,k12
ObjectId(672b02ca9963410e8a06d750),laptop,c6
ObjectId(672b02ca9963410e8a06d751),laptop,k12
ObjectId(672b02ca9963410e8a06d752),laptop,qw2
ObjectId(672b02ca9963410e8a06d753),laptop,zeta
ObjectId(672b02ca9963410e8a06d754),laptop,k12
ObjectId(672b02ca9963410e8a06d755),laptop,jl3
ObjectId(672b02ca9963410e8a06d756),laptop,j3
ObjectId(672b02ca9963410e8a06d757),laptop,kz
ObjectId(672b02ca9963410e8a06d758),laptop,jl3
ObjectId(672b02ca9963410e8a06d759),laptop,zeta
ObjectId(672b02ca9963410e8a06d75a),laptop,k12
ObjectId(672b02ca9963410e8a06d75b),laptop,zeta
ObjectId(672b02ca9963410e8a06d75c),laptop,ay9
ObjectId(672b02ca9963410e8a06d75d),laptop,jl3
ObjectId(672b02ca9963410e8a06d75e),laptop,zeta
ObjectId(672b02ca9963410e8a06d75f),laptop,k12
ObjectId(672b02ca9963410e8a06d760),laptop,ay9
ObjectId(672b02ca9963410e8a06d761),laptop,kz
ObjectId(672b02ca9963410e8a06d762),laptop,ki2
ObjectId(672b02ca9963410e8a06d763),laptop,ay9
ObjectId(672b02ca9963410e8a06d764),laptop,k12
ObjectId(672b02ca9963410e8a06d765),laptop,ki2
ObjectId(672b02ca9963410e8a06d766),laptop,kz
ObjectId(672b02ca9963410e8a06d767),laptop,j3
ObjectId(672b02ca9963410e8a06d768),laptop,kz
ObjectId(672b02ca9963410e8a06d769),laptop,j3
ObjectId(672b02ca9963410e8a06d76a),laptop,ay9
ObjectId(672b02ca9963410e8a06d76b),laptop,qw2
ObjectId(672b02ca9963410e8a06d76c),laptop,qw2
ObjectId(672b02ca9963410e8a06d76d),laptop,ay9
ObjectId(672b02ca9963410e8a06d76e),laptop,j3
ObjectId(672b02ca9963410e8a06d76f),laptop,kz
ObjectId(672b02ca9963410e8a06d770),laptop,qw2
ObjectId(672b02ca9963410e8a06d771),laptop,c6
ObjectId(672b02ca9963410e8a06d772),laptop,ay9
ObjectId(672b02ca9963410e8a06d773),laptop,j3
ObjectId(672b02ca9963410e8a06d774),laptop,qw2
ObjectId(672b02ca9963410e8a06d775),laptop,ay9
ObjectId(672b02ca9963410e8a06d776),laptop,k12
ObjectId(672b02ca9963410e8a06d777),laptop,qw2
ObjectId(672b02ca9963410e8a06d778),laptop,zeta
ObjectId(672b02ca9963410e8a06d779),laptop,kz
ObjectId(672b02ca9963410e8a06d77a),laptop,zeta
ObjectId(672b02ca9963410e8a06d77b),laptop,qw2
